Timestamp,CPU Usage(%),Memory Usage(%),IO(Disk) Read(MB),IO(Disk) Write(MB),Disk Usage(%),OS User Time(s),OS System Time(s),OS Idle Time(s)
2025-03-16 21:21:53,2.3,77.4,111204.11328125,240839.71875,49.0,16062.98,7925.76,132236.08
2025-03-16 21:21:59,17.1,80.4,111206.94921875,240843.54296875,48.8,16065.0,7927.3,132280.41
2025-03-16 21:22:05,4.2,78.3,111227.88671875,240959.05859375,49.0,16067.74,7928.71,132324.07
2025-03-16 21:22:11,17.5,80.4,111259.62109375,241082.51953125,49.0,16069.82,7930.86,132367.35
2025-03-16 21:22:17,2.9,78.0,111261.75390625,241092.890625,49.0,16072.41,7931.85,132411.6
2025-03-16 21:22:23,5.7,78.2,111278.1796875,241209.9375,49.0,16074.84,7933.74,132455.05
2025-03-16 21:22:29,7.5,78.8,111281.80859375,241213.24609375,49.0,16076.88,7934.88,132499.71
2025-03-16 21:22:35,50.5,80.9,111453.78515625,241346.64453125,49.0,16082.63,7939.33,132536.8
2025-03-16 21:37:45,17.3,80.1,111558.82421875,241354.51953125,49.0,16088.75,7942.42,132575.03
2025-03-16 21:37:51,7.0,81.4,111743.28125,241479.14453125,49.0,16102.29,7948.89,132601.96
2025-03-16 21:37:57,37.6,82.1,111903.37109375,241600.33203125,49.0,16109.98,7953.59,132636.83
2025-03-16 21:38:03,9.3,82.4,112051.34765625,241614.26171875,49.0,16117.37,7957.25,132673.07
2025-03-16 21:38:09,18.1,82.2,112086.1640625,241734.9375,49.0,16120.46,7960.06,132714.73
2025-03-16 21:38:15,14.0,81.7,112198.9296875,241739.296875,49.0,16124.68,7963.55,132754.27
2025-03-16 21:38:21,3.8,80.4,112227.19921875,241858.546875,49.0,16129.7,7966.85,132793.49
